name,group,family,sub_family,sex,weight_mean,weight_sd,weight_min,weight_max,weight_n,head_body_mean,head_body_sd,head_body_min,head_body_max,head_body_n,tail_mean,tail_sd,tail_min,tail_max,tail_n,ear_mean,ear_sd,ear_min,ear_max,ear_n,hind_foot_mean,hind_foot_sd,hind_foot_min,hind_foot_max,hind_foot_n,length_skull_mean,length_skull_min,length_skull_max,source
epixerus_ebii,squirrels,sciuridae,xerinae,NA,470.3,NA,346,543,NA,263.8,NA,240,280,NA,283.8,NA,260,320,NA,19.4,NA,18,20,NA,65.1,NA,62.3,68.3,NA,68.4,64.9,70.5,mondadjem
funisciurus_pyrropus,squirrels,sciuridae,xerinae,NA,241.6,NA,187,289,NA,198.8,NA,183,215,NA,178,NA,154,210,NA,17.8,NA,11.7,20,NA,46.2,NA,41,52,NA,49,46.7,51.9,mondadjem
heliosciurus_gambianus,squirrels,sciuridae,xerinae,NA,245.6,NA,157,325,NA,205.5,NA,188,230,NA,248,NA,200,305,NA,14.8,NA,10,18,NA,50.2,NA,45,54,NA,47.4,42.5,51.6,mondadjem
heliosciurus_punctatus,squirrels,sciuridae,xerinae,NA,145.5,NA,119,163,NA,186.7,NA,155,206,NA,227.3,NA,202,270,NA,15.2,NA,13,17,NA,46.7,NA,44,51,NA,45,41.3,48,mondadjem
heliosciurus_rufobrachium,squirrels,sciuridae,xerinae,NA,329.3,NA,250,388,NA,227.7,NA,193,256,NA,267.3,NA,203,320,NA,15.7,NA,10,19,NA,53.9,NA,47,60,NA,52.1,46.3,56.8,mondadjem
paraxerus_poensis,squirrels,sciuridae,xerinae,NA,171.3,NA,114,346,NA,157.9,NA,132,179,NA,184.6,NA,106,218,NA,12.8,NA,10,17,NA,40,NA,32,41,NA,40.5,34.7,43.5,mondadjem
allosciurus_aubinii,squirrels,sciuridae,xerinae,NA,470.7,NA,429,498,NA,253,NA,240,267,NA,295,NA,273,310,NA,20.1,NA,19,21,NA,54.5,NA,52,57,NA,59.2,58.5,60.1,mondadjem
protoxerus_stangeri,squirrels,sciuridae,xerinae,NA,616.8,NA,393,716,NA,276.7,NA,210,310,NA,316.8,NA,230,394,NA,21.4,NA,15,25,NA,64.9,NA,60,72,NA,66.4,62,70.5,mondadjem
graphiurus_crassicaudatus,dormice,gliridae,graphiurinae,NA,23.6,NA,19,29,NA,88.9,NA,77,100,NA,58.4,NA,53,70,NA,12,NA,7,15,NA,16.4,NA,13,19,NA,25.6,24.1,27.8,mondadjem
graphiurus_lorraineus,dormice,gliridae,graphiurinae,NA,16.8,NA,12,24,NA,80.5,NA,70,93,NA,66.8,NA,45,77,NA,12.4,NA,9,15,NA,16.5,NA,13,19,NA,24.5,22.7,26.2,mondadjem
graphiurus_nagtglasii,dormice,gliridae,graphiurinae,NA,70.2,NA,62,77,NA,132.4,NA,108,160,NA,126,NA,102,160,NA,19.4,NA,16,22,NA,27.3,NA,24,31,NA,36.3,32.9,39.9,mondadjem
cricetomys_emini,rodent,nesomyidae,cricetomyinae,NA,1000,NA,800,1200,NA,328.5,NA,300,355,NA,381.6,NA,320,429,NA,38.1,NA,33,45,NA,67.7,NA,64,71,NA,70.3,59.5,77.2,mondadjem
lophuromys_sikapusi,rodent,muridae,deomyinae,NA,63.7,NA,34,87,NA,129.9,NA,110,145,NA,69,NA,58,75,NA,16.2,NA,14,18,NA,23,NA,20,25,NA,31.1,27.6,33.5,mondadjem
uranomys_ruddi,rodent,muridae,deomyinae,NA,33.1,NA,26,43,NA,106.4,NA,95,119,NA,68.6,NA,60,73,NA,13.4,NA,10,15,NA,17.1,NA,16,19,NA,26.4,25,27.7,mondadjem
gerbilliscus_guinea,rodent,muridae,gerbillinae,NA,72.8,NA,50,136,NA,140.9,NA,102,178,NA,173.5,NA,151,198,NA,20.7,NA,18,24,NA,33,NA,28,38,NA,35,33,37.5,mondadjem
gerbilliscus_kempi,rodent,muridae,gerbillinae,NA,97.3,NA,74,128,NA,154.1,NA,125,184,NA,152.7,NA,115,188,NA,19.6,NA,17,23,NA,35.5,NA,32,41,NA,40.1,36.3,43.3,mondadjem
arvicanthis_niloticus,rodent,muridae,murinae,NA,114.8,NA,89,160,NA,156.6,NA,127,188,NA,129.6,NA,92,155,NA,18.3,NA,13,22,NA,33,NA,30,36,NA,34.9,29.8,40.2,mondadjem
dasymys_rufulus,rodent,muridae,murinae,NA,100,NA,80,120,NA,141,NA,122,159,NA,139,NA,131,152,NA,19,NA,15,23,NA,28.5,NA,25,31,NA,34.4,32.5,37.2,mondadjem
dephomys_defua,rodent,muridae,murinae,NA,62.5,NA,57,68,NA,124.8,NA,112,136,NA,191,NA,184,195,NA,17.9,NA,16,20,NA,26.3,NA,25,27,NA,32.5,28.4,35,mondadjem
grammomys_buntingi,rodent,muridae,murinae,NA,NA,NA,NA,NA,NA,114.4,NA,100,125,NA,170,NA,165,180,NA,18.4,NA,16,20,NA,25,NA,24,26,NA,30,28.6,31.4,mondadjem
hybomys_planifrons,rodent,muridae,murinae,NA,51,NA,46,60,NA,124,NA,120,130,NA,97,NA,91,104,NA,17.4,NA,16,19,NA,30.6,NA,28,32,NA,32.8,32,33.8,mondadjem
hybomys_trivirgatus,rodent,muridae,murinae,NA,49.6,NA,29,63,NA,118.7,NA,105,130,NA,97,NA,85,110,NA,16.3,NA,15,18,NA,30.6,NA,27,34,NA,33.4,28.1,36.1,mondadjem
hylomyscus_baeri,rodent,muridae,murinae,NA,21.8,NA,21,23,NA,105.9,NA,98,115,NA,128.1,NA,111,141,NA,16.3,NA,15,19,NA,21.8,NA,21,23,NA,25.8,24.2,26.9,mondadjem
hylomyscus_simus,rodent,muridae,murinae,NA,18.5,NA,12,22,NA,89,NA,66,128,NA,123,NA,52,143,NA,16,NA,13,18,NA,19,NA,16,20,NA,23.8,20.7,25.3,mondadjem
lemniscomys_bellieri,rodent,muridae,murinae,NA,60,NA,40,80,NA,109,NA,91,127,NA,112,NA,94,134,NA,15.9,NA,13,19,NA,25.4,NA,23,27,NA,28.2,24.4,31.3,mondadjem
lemniscomys_striatus,rodent,muridae,murinae,NA,41.1,NA,28,67,NA,115.6,NA,97,139,NA,12.4,NA,96,153,NA,15.9,NA,12,21,NA,26.7,NA,22,29,NA,3.7,27.6,33.1,mondadjem
lemniscomys_linulus,rodent,muridae,murinae,NA,38.7,NA,37,41,NA,105.4,NA,93,126,NA,111.4,NA,95,135,NA,16.6,NA,15,18,NA,26,NA,23,28,NA,27.3,25.2,29.5,mondadjem
malacomys_edwardsi,rodent,muridae,murinae,NA,64.5,NA,46,80,NA,140.1,NA,126,160,NA,168.8,NA,155,180,NA,25.7,NA,24,28,NA,34.2,NA,31,37,NA,37.9,34.9,39.6,mondadjem
mastomys_erythroleucus,rodent,muridae,murinae,NA,51.3,NA,32,107,NA,129.9,NA,92,178,NA,115.8,NA,81,151,NA,18.8,NA,15,23,NA,23.4,NA,20,27,NA,28.8,23.7,34.3,mondadjem
mastomys_natalensis,rodent,muridae,murinae,NA,40.8,NA,15,98,NA,108.1,NA,76,155,NA,102.1,NA,70,174,NA,17.3,NA,12,22,NA,22.9,NA,18,26,NA,28.3,22.3,34.8,mondadjem
mus_baoulei,rodent,muridae,murinae,NA,6.8,NA,6,8,NA,65.9,NA,56,70,NA,42.6,NA,38,48,NA,10.6,NA,10,12,NA,13.1,NA,12,15,NA,18.7,18,20.3,mondadjem
mus_mattheyi,rodent,muridae,murinae,NA,6.5,NA,6,7,NA,52.9,NA,45,61,NA,37.6,NA,32,41,NA,8.8,NA,7,10,NA,12.1,NA,11,14,NA,17.4,15.3,19.7,mondadjem
mus_minutoides,rodent,muridae,murinae,NA,6.8,NA,3,12,NA,56.5,NA,40,72,NA,42.7,NA,27,57,NA,9.3,NA,6,12,NA,13.1,NA,9,16,NA,18.2,17,19.2,mondadjem
mus_musculoides,rodent,muridae,murinae,NA,6.9,NA,6,9,NA,63.8,NA,58,75,NA,49.4,NA,47,53,NA,8.5,NA,7,10,NA,13,NA,12,14,NA,17.3,16.7,18.1,mondadjem
mus_musculus,rodent,muridae,murinae,NA,14.5,NA,10,20,NA,77.4,NA,61,109,NA,78.6,NA,62,88,NA,12.7,NA,12,15,NA,17.3,NA,15,20,NA,20.5,18.2,21.8,mondadjem
mus_setulosus,rodent,muridae,murinae,NA,13.7,NA,8,23,NA,72.3,NA,52,84,NA,53.4,NA,43,63,NA,11,NA,8,14,NA,15.4,NA,13,17,NA,20.9,19.9,22.4,mondadjem
oenomys_ornatus,rodent,muridae,murinae,NA,95,NA,80,103,NA,143,NA,131,154,NA,189,NA,180,203,NA,18.5,NA,18,19,NA,33.5,NA,31,36,NA,35.6,34,37.7,mondadjem
praomys_daltoni,rodent,muridae,murinae,NA,41,NA,24,66,NA,112.6,NA,98,133,NA,125.1,NA,107,142,NA,17.6,NA,16,20,NA,22.1,NA,20,25,NA,28.6,25.8,32.2,mondadjem
praomys_rostratus,rodent,muridae,murinae,NA,50.5,NA,31,73,NA,129.5,NA,109,147,NA,145.1,NA,124,171,NA,18.9,NA,17,21,NA,26.4,NA,24,31,NA,34,30,36.9,mondadjem
praomys_tullbergi,rodent,muridae,murinae,NA,37.9,NA,28,54,NA,119.3,NA,108,131,NA,139.5,NA,115,153,NA,18.7,NA,17,21,NA,24.1,NA,22,26,NA,31.5,29.1,34.3,mondadjem
rattus_rattus,rodent,muridae,murinae,NA,115.2,NA,56,257,NA,168.3,NA,100,342,NA,178.9,NA,95,250,NA,21.2,NA,16,31,NA,33.8,NA,23,42,NA,39.9,34.9,44.7,kingdon
crocidura_buettikoferi,shrew,soricidae,crocidurinae,NA,14,NA,10,17,NA,86,NA,72,100,NA,56.5,NA,51,62,NA,8.25,NA,7,9.5,NA,13.5,NA,12,15,NA,22,21.4,22.7,kingdon
crocidura_crossei,shrew,soricidae,crocidurinae,NA,7.2,NA,6.3,8,NA,67,NA,54,80,NA,52.5,NA,48,57,NA,6.5,NA,6,8,NA,11,NA,10,12,NA,19.2,18.5,19.9,kingdon
crocidura_denti,shrew,soricidae,crocidurinae,NA,10.5,NA,8,12,NA,63,NA,63,63,NA,46,NA,46,46,NA,8,NA,8,8,NA,13,NA,13,13,NA,20.6,20.6,20.6,kingdon
crocidura_fuscomurina,shrew,soricidae,crocidurinae,NA,3.7,NA,2,5,NA,57.9,NA,48,75,NA,38.5,NA,27.5,48,NA,7.6,NA,6.5,9,NA,9.8,NA,8,11,NA,16.2,15.1,17.4,kingdon
crocidura_lamottei,shrew,soricidae,crocidurinae,NA,20.5,NA,18,23,NA,87.5,NA,85,90,NA,45.3,NA,35.5,55,NA,11.5,NA,11,12,NA,15,NA,14,16,NA,25.3,24.7,26,kingdon
